1 // 1                137.08  -10.05  0.50    -32.78  3.73     
1 // 2                126.23  -5.99   3.81    -50.95  16.33    
1 // 3                116.98  0.71    12.81   -71.43  27.93    
2 // 2 ( cis )        118.49  -6.32   -6.41   -37.60  11.30    
2 // 2 ( trans )      114.51  -11.39  9.17    -67.57  26.80    
2 // 3                114.72  0.59    -1.05   -54.09  21.23    
3 // 3                115.97  -2.09   5.90    -95.92  57.57    
1 /// 1               311.62  -28.68  19.18   -98.81  22.99    
1 /// 2               290.98  -20.81  16.54   -117.15 40.74    
2 /// 2               274.40  -23.95  12.85   -127.11 51.71    
( C // C // C )        41.41  -13.27  9.76    -7.79   2.14   
( C // C - C // C )   -15.32  -17.00  -6.70   37.30   -27.51
Benz - C // C          -7.20  -9.50   5.36    -9.09   5.19
Benz - C /// C          8.79  -20.10  -3.77   4.61    0.42    
( C /// C - C /// C )  17.58  -20.52  3.35    14.65   -14.65  
( C // C - C /// C )    13.82  -5.86   12.56   22.19   9.63    
